Country,Year,ISO_Code,Population,GDP,Cement_CO2,Cement_CO2_Per_Capita,CO2,CO2_Growth_Abs,CO2_Growth_Prct,CO2_Including_luc,CO2_Including_luc_Growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,
Africa,1990,,638157571,,22.758,0.036,659.297,-39.882,-5.704,1629.404,62.831,4.011,2.554,1.17,0.607,1.033,0.473,0.246,295.753,0.464,421.411,15930.455,95816.422,8354.431,1313.871,674.894,118841.992,5165.849,,4086.444,,20.795,0.033,75.954,0.119,2.428,3.367,970.264,1.521,714.81,1.12,312.74,0.49,244.036,0.383,,2607.795,4.608,2.897,5.896,3.404,3.44,1.971,6.881,1.909,16.053,0.853,20.18,1.92,,7.763,1.982,19.894,2.638,,8.397,0.032,0.043,0.08,0.006,2148.5,1549.44,-70.727,-10.728,
Africa,1991,,655040869,,24.383,0.037,688.954,29.657,4.498,1649.328,19.925,1.223,2.519,1.151,0.613,1.052,0.481,0.256,306.5,0.468,445.795,16619.41,97465.75,8660.931,1334.669,753.36,119801.406,5424.654,,3976.666,,20.799,0.032,78.466,0.12,2.451,3.382,959.418,1.465,740.89,1.131,316.52,0.483,258.805,0.395,,2604.879,4.802,2.964,5.89,3.562,3.494,1.999,6.861,1.941,15.762,0.907,20.18,1.946,,7.35,2.007,20.168,2.662,,8.411,0.032,0.044,0.082,0.006,2215.11,1605.49,-77.071,-11.187,
Africa,1992,,671931834,,24.862,0.037,668.606,-20.348,-2.953,1860.546,211.217,12.806,2.77,1.277,0.681,0.995,0.459,0.245,288.582,0.43,470.657,17288.016,99326.297,8949.514,1358.02,827.633,120991.25,5682.192,,3935.098,,23.351,0.035,74.273,0.111,2.422,3.33,1189.847,1.771,748.77,1.114,319.64,0.476,257.538,0.383,,2644.118,4.7,2.961,6.773,3.436,3.542,2.024,6.86,1.968,15.577,0.951,20.214,1.973,,9.322,1.876,24.329,2.791,,8.431,0.033,0.045,0.084,0.006,2237.26,1627.6,-45.506,-6.806,
Africa,1993,,689140286,,24.563,0.036,708.741,40.135,6.003,1973.726,113.181,6.083,2.865,1.322,0.724,1.029,0.475,0.26,318.848,0.463,495.22,17996.758,101300.023,9268.361,1379.81,909.354,122256.43,5944.01,,3847.371,,21.79,0.032,81.722,0.119,2.405,3.29,1265.179,1.836,762.15,1.106,321.66,0.467,261.818,0.38,,2651.378,4.454,3.107,7.128,3.751,3.578,2.053,6.865,2.001,15.396,0.999,20.26,2,,8.928,2.009,25.945,2.836,,8.453,0.034,0.046,0.085,0.006,2267.39,1657.71,-65.56,-9.25,
Africa,1994,,706488557,,25.059,0.035,719.465,10.724,1.513,2115.383,141.657,7.177,2.995,1.36,0.757,1.019,0.463,0.257,330.698,0.468,520.28,18716.221,103415.406,9599.059,1401.607,994.943,123652.562,6200.333,,3879.322,,21.797,0.031,85.588,0.121,2.474,3.336,1396.131,1.977,782.85,1.108,383.62,0.543,256.323,0.363,,2740.697,4.258,3.132,7.484,3.868,3.606,2.08,6.876,2.035,15.218,1.046,20.313,2.023,,8.787,2.086,26.363,2.766,,8.49,0.035,0.046,0.087,0.006,2357.19,1747.54,-65.957,-9.168,
Africa,1995,,724331972,,27.021,0.037,771.882,52.417,7.286,2177.917,62.533,2.956,3.008,1.338,0.747,1.066,0.474,0.265,346.863,0.479,547.301,19488.104,105593.32,9945.922,1425.704,1096.499,125058.812,6472.678,,3936.807,,24.097,0.033,101.557,0.14,2.496,3.339,1406.243,1.942,798.76,1.103,388.34,0.536,272.345,0.376,,2851.555,4.341,3.29,7.576,3.944,3.636,2.111,6.889,2.07,15.079,1.103,20.367,2.049,,9.838,2.412,26.592,2.908,,8.54,0.036,0.047,0.089,0.006,2418.23,1808.08,-82.805,-10.728,
Africa,1996,,742765067,,27.617,0.037,783.332,11.45,1.483,2084.466,-93.451,-4.291,2.807,1.193,0.697,1.055,0.448,0.262,353.13,0.476,574.918,20271.436,107677.797,10299.052,1449.491,1204.519,126360.18,6743.456,,3936.949,,23.787,0.032,108.019,0.145,2.521,3.314,1301.38,1.753,818.49,1.102,374.32,0.504,270.778,0.365,,2924.229,4.347,3.242,7.079,3.917,3.665,2.14,6.893,2.104,14.94,1.161,20.404,2.071,,9.623,2.457,24.624,2.808,,8.59,0.037,0.048,0.091,0.006,2461.64,1872.27,-108.405,-13.839,
Africa,1997,,761224818,,27.907,0.037,812.606,29.274,3.737,2142.792,58.326,2.798,2.816,1.165,0.702,1.068,0.442,0.266,360.843,0.474,602.825,21084.041,109820.586,10659.896,1472.885,1299.724,127690.656,7048.713,,3922.852,,23.394,0.031,95.205,0.125,2.495,3.281,1330.472,1.748,829.01,1.089,378.87,0.498,305.257,0.401,,2986.172,4.22,3.344,6.823,4.024,3.688,2.17,6.892,2.138,14.798,1.201,20.385,2.102,,9.328,2.158,18.726,3.119,,8.626,0.038,0.049,0.093,0.007,2497.94,1899.46,-109.779,-13.509,
Africa,1998,,779908311,,28.906,0.037,837.844,25.238,3.106,2260.018,117.226,5.471,2.899,1.166,0.738,1.075,0.432,0.274,355.518,0.456,631.731,21921.887,112080.602,11015.414,1495.846,1412.436,129113.125,7366.46,,3888.152,,22.961,0.029,112.712,0.145,2.491,3.299,1422.475,1.824,866.65,1.111,405.11,0.519,317.747,0.408,,3032.402,4.389,3.46,7.609,4.074,3.715,2.201,6.905,2.172,14.675,1.254,20.433,2.134,,9.557,2.513,25.926,3.215,,8.674,0.039,0.05,0.095,0.007,2572.78,1942.7,-87.357,-10.426,
Africa,1999,,799099611,,30.167,0.038,830.411,-7.433,-0.887,2100.405,-159.613,-7.062,2.629,1.033,0.661,1.04,0.408,0.261,366.536,0.459,661.899,22752.297,114181.008,11381.949,1519.415,1526.812,130383.438,7662.222,,3911.04,,23.569,0.03,114.377,0.143,2.428,3.211,1270.309,1.59,860.87,1.077,403.42,0.505,295.762,0.37,,3125.31,4.366,3.358,6.95,4.139,3.74,2.229,6.906,2.205,14.573,1.302,20.456,2.156,,10.126,2.475,23.143,2.925,,8.706,0.039,0.051,0.097,0.007,2565.68,1940.36,-86.473,-10.413,
